Adoption ID,Date,Quantity,Book Id,Book Title,Category
1,7/12/2015,545,489,Statistics for Business and Economics,Statistics
2,12/18/2015,138,603,Intro Stats,Statistics
3,4/25/2015,158,480,Fundamentals of Statistics,Statistics
4,6/21/2015,362,550,Literature for Composition,English
5,11/21/2015,116,896,Psychology of Investing,Business
6,6/12/2015,612,693,"Network Security Essentials: Applications and Standards, 5/e",Computer Science
7,11/6/2015,282,943,Modern Systems Analysis and Design,Business
1,5/13/2015,476,587,Algebra and Trigonometry,Mathematics
2,1/30/2016,59,942,Employment Law,Business
3,12/23/2015,68,686,Ownership Series: Ownership: Study Strategies,Student Success
4,2/18/2016,314,626,Elementary & Intermediate Algebra,Mathematics
5,2/9/2016,111,599,Analysis with an Introduction to Proof,Mathematics
6,1/9/2016,251,944,Principles of Operations Management,Business
7,3/23/2015,213,928,Human Resource Management,Business
8,12/24/2015,356,625,"Career Tool Kit, The: Skills for Success",Student Success
9,6/6/2015,639,477,Starting Out With Visual Basic,Computer Science
10,2/20/2016,527,972,Making the Team,Business
11,7/2/2015,108,946,Auditing and Assurance Services,Business
12,4/9/2015,687,549,Complete Works of Shakespeare 7E,English
13,6/27/2015,231,586,College Algebra: An Early Functions Approach,Mathematics
14,12/31/2015,282,895,Intercultural Business Communication,Business
15,3/16/2015,246,583,John E. Freund's Mathematical Statistics with Applications,Statistics
1,3/25/2015,494,955,Horngren's Financial & Managerial Accounting,Business
2,2/5/2016,362,643,Engineering Vibration,Engineering
3,7/5/2015,167,603,Intro Stats,Statistics
4,2/23/2016,202,688,"Essentials of Processes, Systems and Information: with SAP tutorials",Business
1,7/5/2015,412,951,Corporate Finance,Business
2,3/7/2015,144,698,Global Marketing Management,Business
3,7/26/2015,640,784,Mechanics of Materials,Engineering
4,1/17/2016,451,904,International Business,Business
5,9/12/2015,371,787,Visual Basic 2012 How to Program,Computer Science
6,12/16/2015,119,952,"Corporate Finance, The Core",Business
7,5/18/2015,104,478,Starting out with Visual C# 2012 (with CD-Rom),Computer Science
8,2/14/2016,189,984,E-Commerce 2013,Business
9,2/23/2016,597,599,Analysis with an Introduction to Proof,Mathematics
10,6/12/2015,259,932,Foundations of Finance,Business
11,8/24/2015,519,594,Elementary Algebra:  Concepts & Applications,Mathematics
12,6/23/2015,500,652,"Career Adventure: Your Guide to Personal Assessment, Career Exploration, and Decision Making",Student Success
13,5/18/2015,368,639,An Introduction to Programming Using Visual Basic 2012(w/Visual Studio 2012 Express Edition DVD),Computer Science
14,4/11/2015,308,911,Economics,Economics
15,6/8/2015,521,957,Principles of Risk Management and Insurance,Business
16,3/25/2015,72,792,Managing Engineering and Technology,Engineering
17,11/19/2015,276,622,"Prealgebra and Introductory Algebra, 4e",Mathematics
18,5/5/2015,250,698,Global Marketing Management,Business
19,10/10/2015,51,549,Complete Works of Shakespeare 7E,English
20,4/16/2015,481,598,Introductory & Intermediate Algebra 3e,Mathematics
21,1/28/2016,123,790,Data Structures and Algorithm Analysis in C++,Computer Science
22,2/23/2016,665,593,Prealgebra  5e,Mathematics
23,10/19/2015,231,480,Fundamentals of Statistics,Statistics
24,8/15/2015,650,611,"Cornerstones for Community College Success, 2/E",Student Success
25,6/29/2015,189,969,Economics for Managers,Economics
26,7/10/2015,180,612,Precalculus with Modeling & Visualization,Mathematics
27,1/2/2016,506,598,Introductory & Intermediate Algebra 3e,Mathematics
28,8/27/2015,265,490,Essential Statistics,Statistics
29,10/15/2015,535,974,The Economics of Macro Issues,Economics
30,2/22/2016,552,948,"Integrated Advertising, Promotion, and Marketing Communications",Business
31,9/26/2015,602,473,Introduction to JavaScript Programming with XML and PHP,Computer Science
32,10/10/2015,637,940,Microeconomics,Economics
33,3/6/2016,471,910,Managerial Economics,Economics
1,2/29/2016,462,942,Employment Law,Business
2,7/7/2015,139,603,Intro Stats,Statistics
3,7/29/2015,205,980,Hands-On Database,Computer Science
